title,release_date,developer,publisher,tags,bundle,music
MULLET MADJACK,"15 May, 2024",HAMMER95,Epopeia Games,"FPS,Fast-Paced,Arcade,Boomer Shooter,Action,Singleplayer,Indie,Anime,Shooter,Stylized,2.5D,Cyberpunk,Score Attack,First-Person,3D,Robots,Retro,Roguelite,1980s,1990's",,
POSTAL: Brain Damaged,,Hyperstrange,,"Shooter,Action,Boomer Shooter,Stylized,Atmospheric,Pixel Graphics,Comedy,First-Person,Funny,Politics,Memes,Shoot 'Em Up,Survival,FPS,Gore,Fast-Paced,Soundtrack,Retro,Violent,Horror",,
AMID EVIL,"20 Jun, 2019",Indefatigable,New Blood Interactive,"Boomer Shooter,Old School,Arena Shooter,FPS,Sci-fi,Magic,Surreal,Shooter,First-Person,Psychedelic,Action,Colorful,Fantasy,Dark Fantasy,Atmospheric,Adventure,Retro,1990's,Combat,Singleplayer",,Buy AMID EVIL
Fida Puti Samurai,"30 Jun, 2022",Zanardi and Liza,Zanardi and Liza,"FPS,Retro,Anime,Funny,Procedural Generation,Female Protagonist,Roguelite,Shooter,First-Person,Action,Sexual Content,Violent,Cute,Nudity,Pixel Graphics,Gore,Comedy,Early Access,Cyberpunk,Roguelike",,Buy Fi da Puti Samurai
Post Void,"6 Aug, 2020",YCJY Games,YCJY Games,"FPS,Psychedelic,Fast-Paced,Action Roguelike,Difficult,Shooter,First-Person,Singleplayer,Surreal,Action,Pixel Graphics,Arcade,Violent,Retro,Score Attack,Colorful,Procedural Generation,1990's,Old School,Tutorial",,Buy Post Void
MULLET MAD JACK DEMO,"24 Jan, 2024",HAMMER95,HAMMER95,"Action,Arcade,Fast-Paced,Shooter,FPS,Violent,3D,Anime,First-Person,1980s,1990's,Futuristic,Dark Humor,Retro,Transhumanism,Combat,Linear,Singleplayer,Gore,Indie",,
Beyond Sunset,,Metacorp / Vaporware,,"Early Access,FPS,Old School,Boomer Shooter,Action,Shooter,First-Person,Arena Shooter,Hero Shooter,Adventure,2.5D,Colorful,Action RPG,Pixel Graphics,Stylized,Voxel,1990's,1980s,Atmospheric,Cyberpunk",,
Drug Dealer Simulator 2,,Byterunners,,"Open World,Multiplayer,Simulation,Singleplayer,Crime,Action,First-Person,RPG,Inventory Management,Sandbox,Atmospheric,Mature,Adventure,Resource Management,Crafting,Co-op Campaign,Management,3D,Realistic,Trading",,Buy Drug Dealer Simulator 2
Gas Station Simulator,,DRAGO entertainment,,"Simulation,Economy,Building,Singleplayer,Management,Base Building,Indie,First-Person,Realistic,Open World,Relaxing,Crafting,Casual,Funny,Design & Illustration,Memes,Multiplayer,Destruction,Family Friendly,Choices Matter",,Buy Gas Station Simulator
Brewpub Simulator,,Star Drifters,,"Simulation,3D,Immersive Sim,First-Person,Cooking,Realistic,America,Crafting,Economy,Management,Indie,Modern,Resource Management,Singleplayer,Life Sim,Time Management,Atmospheric",,Buy Brewpub Simulator
Alaskan Road Truckers,"18 Oct, 2023",Road Studio S.A.,Green Man Gaming Publishing,"Automobile Sim,Driving,Open World,Realistic,Survival,Exploration,Immersive Sim,Simulation,Adventure,Atmospheric,Singleplayer,Indie,First-Person,Relaxing,Management,Inventory Management,3D,Action-Adventure,Racing,Third Person",,Buy Alaskan Road Truckers
Nemezis: Mysterious Journey III,,Detalion Games S.A.,,"Mystery,Action,Puzzle,Investigation,Adventure,Exploration,First-Person,Story Rich,Singleplayer,Atmospheric,3D,Realistic,Casual,Logic,Hidden Object,Indie,Futuristic,Lore-Rich,Colorful,Sci-fi",,Buy Nemezis: Mysterious Journey III
Creatura,"31 Mar, 2021",Koksny.com,FreeMind S.A.,"Simulation,Casual,Science,Indie,Sandbox,God Game,Underwater,Life Sim,Creature Collector,3D,Cute,Nature,Procedural Generation,Relaxing,Singleplayer,Arcade,Immersive Sim,Fishing,Education,Design & Illustration",,
Aquarist,,FreeMind S.A.,,"Indie,Sandbox,Simulation,Education,Casual,Job Simulator,Management,Building,Atmospheric,Relaxing,Family Friendly,First-Person,Immersive Sim,Creature Collector,3D,Fishing,Singleplayer,Nature,Cute,Colorful",,
My Hotel,"15 Nov, 2024",BrainSwapper,CreativeForge Games,"Singleplayer,Strategy,Adventure,Choose Your Own Adventure,Choices Matter,Management,Crime,Life Sim,First-Person,Mystery,Noir,Roguelike,Indie,Story Rich,3D,Simulation,Atmospheric,Immersive Sim,RPG,Casual",,Buy My Hotel
Aquatic Store Simulator,"5 Nov, 2024",FreeMind S.A.,FreeMind S.A.,"Simulation,Management,Economy,Singleplayer,Trading,Immersive Sim,Sandbox,First-Person,Building,Capitalism,Casual,Life Sim,3D,Relaxing,Realistic,Indie,Family Friendly,Job Simulator,Resource Management",,Buy Aquatic Store Simulator
Aircraft Carrier Survival,"20 Apr, 2022",Gambit Games Studio,CreativeForge Games,"Naval Combat,Strategy,Action,Survival,Realistic,World War II,Exploration,Naval,Economy,Replay Value,Management,War,Resource Management,Singleplayer,Tactical,Sandbox,Open World,Base Building,Indie,Simulation",,Buy Aircraft Carrier Survival
Zoo Simulator,,Games Incubator,,"Simulation,Adventure,Casual,Realistic,Indie,Family Friendly,Cute,Open World,Education,Colorful,Life Sim,Management,First-Person,Economy,Relaxing,Singleplayer,Immersive Sim,Atmospheric,Nature,Strategy",,Buy Zoo Simulator
Laundry Store Simulator,,Akhir Pekan Studio,,"Simulation,Management,Time Management,Realistic,First-Person,Comedy,Economy,3D,Funny,Sandbox,Conversation,Indie,Nonlinear,Singleplayer,Physics,Inventory Management,Resource Management,Early Access,Tutorial,Job Simulator",,
Tribe: Primitive Builder,"12 Oct, 2023",Space Boat Studios,PlayWay S.A.,"Immersive Sim,Simulation,Automation,Relaxing,Family Friendly,Inventory Management,Building,Resource Management,Base Building,Fishing,City Builder,Colony Sim,Life Sim,Survival,Casual,Singleplayer,Time Management,First-Person,Adventure,Story Rich",,Buy Tribe: Primitive Builder
Aquarist VR,"4 Dec, 2023",FreeMind S.A.,PlayWay S.A.,"Colorful,Singleplayer,Action,Family Friendly,VR,Simulation,Casual,Relaxing,Immersive Sim,First-Person,3D,Indie,Fishing,Nature,Naval,Underwater,Creature Collector,Building,Management,Puzzle",,
